As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance
16-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,87000,87000
18-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,81000,59000
19-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,94000,94000
20-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,84000,84000
21-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,78000,74000
22-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,82000,82000
23-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,81000,80000
26-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,85000,85000
27-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,82000,71000
28-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,83000,74000
29-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,78000,57000
30-11-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,89000,88000
01-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,92000,75000
02-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,93000,82000
04-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,78000,80000
06-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,91000,104000
07-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,83000,83000
08-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,86000,94000
13-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,80000,99000
14-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,79000,79000
16-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,79000,99000
19-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,88000,99000
20-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,93000,96000
21-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,83000,83000
22-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,94000,106000
23-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,77000,79000
25-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,81000,81000
27-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,91000,91000
31-12-2024,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,93000,93000
01-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,84000,84000
03-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,92000,88000
06-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,93000,66000
08-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,87000,87000
09-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,79000,82000
10-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,90000,90000
11-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,89000,99000
12-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,92000,92000
14-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,80000,80000
19-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,83000,83000
20-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,84000,68000
22-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,79000,88000
23-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,92000,92000
24-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,85000,85000
25-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,86000,72000
27-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,89000,71000
30-01-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,78000,56000
01-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,79000,79000
02-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,93000,109000
03-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,88000,105000
07-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,86000,78000
08-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,87000,65000
09-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,89000,101000
10-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,84000,84000
12-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,82000,98000
15-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,91000,116000
16-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,80000,80000
22-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,86000,86000
24-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,90000,90000
25-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,79000,79000
27-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,83000,83000
28-02-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,92000,92000
01-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,86000,86000
02-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,81000,85000
04-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,91000,91000
05-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,79000,90000
06-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,83000,83000
08-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,78000,63000
10-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,91000,90000
12-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,89000,89000
13-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,77000,62000
14-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,83000,83000
16-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,78000,66000
17-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,92000,92000
19-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,78000,89000
21-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,91000,91000
22-03-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,25000
23-03-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,15000
25-03-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
26-03-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,19000
28-03-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
29-03-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
01-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,19000
03-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
04-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,19000
05-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
06-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,20000
09-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
10-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,25000
11-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
12-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,15000
13-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,18000
18-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,23000
19-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,17000
21-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,14000
25-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,20000
26-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,18000
27-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,28000
28-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,17000
29-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
30-04-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
01-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,21000
03-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,23000
04-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
07-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,26000
13-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
14-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
15-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,22000
17-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
18-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,20000
19-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,26000
21-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,31000
23-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,26000
24-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,19000
26-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
28-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
31-05-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,30000
01-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
02-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
03-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,23000
04-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
05-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
06-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,18000
07-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,22000
09-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,24000
13-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
16-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
19-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
21-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
22-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,19000
23-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
25-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
26-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,17000
28-06-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,26000
03-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,31000
05-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
06-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,18000
07-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,21000
08-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,28000
14-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
15-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
16-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,15000
17-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,23000
20-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,19000
21-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,25000
22-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,21000
24-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,20000
25-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
26-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,27000
27-07-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
03-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,15000
04-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,20000
05-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,17000
06-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
07-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,18000
09-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,17000
10-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,29000
11-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,27000
13-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,26000
14-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,30000
15-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
16-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
17-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
20-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,24000
21-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
23-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
26-08-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
01-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,21000
03-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
07-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
08-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
09-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
11-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,16000
15-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,26000
16-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
17-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,17000
18-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
20-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,19000
21-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
22-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,26000
25-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,25000
26-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
29-09-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
04-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,23000
05-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,17000
06-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
07-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
08-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
10-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,24000
15-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,25000
17-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
18-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,24000
19-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
20-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
21-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
25-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,27000
26-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,28000
27-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
31-10-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
04-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
05-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,20000
08-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,27000
10-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
11-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
13-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,23000
16-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,26000
18-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,22000
21-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,20000
22-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,16000
23-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,30000
26-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
27-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,17000
28-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
30-11-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,21000
01-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
02-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
04-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,15000
07-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,23000
08-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
10-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
12-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,25000
15-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
17-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,25000
18-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,25000
19-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
20-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,15000
22-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,14000
23-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
24-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
25-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,17000
26-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,24000
27-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,18000
30-12-2024,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
03-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,21000
04-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,23000
07-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,19000
08-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,24000
09-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
15-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,18000
18-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,17000
19-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,17000
20-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,22000
23-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,23000,21000
25-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,24000,19000
28-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
31-01-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,16000
01-02-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,20000,20000
02-02-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,22000,26000
03-02-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,21000,21000
